Player ID,Player name,MP
murraja01,Jamal Murray,165
jokicni01,Nikola Jokić,168
portemi01,Michael Porter Jr.,145
caldwke01,Kentavious Caldwell-Pope,135
gordoaa01,Aaron Gordon,148
brownbr01,Bruce Brown,111
greenje02,Jeff Green,66
braunch01,Christian Braun,20
jacksre01,Reggie Jackson,3
jamesle01,LeBron James,171
davisan02,Anthony Davis,165
reaveau01,Austin Reaves,159
hachiru01,Rui Hachimura,134
schrode01,Dennis Schröder,125
russeda01,D'Angelo Russell,94
walkelo01,Lonnie Walker IV,58
vandeja01,Jarred Vanderbilt,41
thomptr01,Tristan Thompson,11
browntr01,Troy Brown Jr.,1
beaslma01,Malik Beasley,1
chrisma02,Max Christie,1
harrish01,Shaquille Harrison,1
