Player ID,Player name,MP
kiddja01,Jason Kidd,253
kittlke01,Kerry Kittles,187
martike01,Kenyon Martin,234
vanhoke01,Keith Van Horn,196
harrilu01,Lucious Harris,122
williaa01,Aaron Williams,148
maccuto01,Todd MacCulloch,124
jefferi01,Richard Jefferson,115
collija04,Jason Collins,27
johnsan02,Anthony Johnson,30
marshdo02,Donny Marshall,2
scalabr01,Brian Scalabrine,2
piercpa01,Paul Pierce,263
walkean02,Antoine Walker,269
anderke01,Kenny Anderson,223
rogerro01,Rodney Rogers,135
willier01,Eric Williams,159
battito01,Tony Battie,170
delkto01,Tony Delk,97
stricer01,Erick Strickland,62
mccarwa01,Walter McCarty,49
blounma01,Mark Blount,14
