Player ID,Player name,MP
malonka01,Karl Malone,248
russebr01,Bryon Russell,224
hornaje01,Jeff Hornacek,165
stockjo01,John Stockton,191
andersh01,Shandon Anderson,159
eisleho01,Howard Eisley,98
keefead01,Adam Keefe,76
ostergr01,Greg Ostertag,154
baileth01,Thurl Bailey,66
fulleto02,Todd Fuller,50
vaughja01,Jacque Vaughn,1
fostegr01,Greg Foster,7
rideris01,Isaiah Rider,197
grantbr01,Brian Grant,223
wallara01,Rasheed Wallace,196
sabonar01,Arvydas Sabonis,180
stoudda01,Damon Stoudamire,178
jacksji01,Jim Jackson,133
anthogr01,Greg Anthony,110
williwa02,Walt Williams,92
augmost01,Stacey Augmon,93
onealje01,Jermaine O'Neal,21
catoke01,Kelvin Cato,17
