Player ID,Player name,MP
tatumja01,Jayson Tatum,145
walkeke02,Kemba Walker,131
brownja02,Jaylen Brown,150
smartma01,Marcus Smart,143
theisda01,Daniel Theis,90
kanteen01,Enes Freedom,61
willigr01,Grant Williams,39
wanambr01,Brad Wanamaker,69
haywago01,Gordon Hayward,34
langfro01,Romeo Langford,37
fallta01,Tacko Fall,3
greenja02,Javonte Green,6
ojelese01,Semi Ojeleye,29
williro04,Robert Williams,22
embiijo01,Joel Embiid,145
richajo01,Josh Richardson,144
harrito02,Tobias Harris,149
miltosh01,Shake Milton,126
burksal01,Alec Burks,95
horfoal01,Al Horford,129
netora01,Raul Neto,26
thybuma01,Matisse Thybulle,75
scottmi01,Mike Scott,20
korkmfu01,Furkan Korkmaz,40
oquinky01,Kyle O'Quinn,6
pelleno01,Norvel Pelle,7
