Player ID,Player name,MP
johnsfr01,Frank Johnson,81
greveke01,Kevin Grevey,55
rulanje01,Jeff Ruland,70
haywosp01,Spencer Haywood,57
mahorri01,Rick Mahorn,65
ballagr01,Greg Ballard,68
davisch02,Charles Davis,27
collido02,Don Collins,38
lucasjo01,John Lucas,15
wittsga01,Garry Witts,4
kingal01,Albert King,58
willibu01,Buck Williams,79
willira01,Ray Williams,77
cookda01,Darwin Cook,86
elmorle01,Len Elmore,76
okoremi01,Mike O'Koren,44
gminsmi01,Mike Gminski,10
baileja01,James Bailey,26
sheroed01,Ed Sherod,8
vanbrja01,Jan van Breda Kolff,16
