Player ID,Player name,MP
daviswa03,Walter Davis,100
westppa01,Paul Westphal,109
adamsal01,Alvan Adams,104
bratzmi01,Mike Bratz,54
busedo01,Don Buse,110
heardga01,Gar Heard,78
robintr01,Truck Robinson,47
kramejo01,Joel Kramer,22
scottal01,Alvin Scott,43
mcclate01,Ted McClain,15
forreba01,Bayard Forrest,28
thompmy01,Mychal Thompson,119
brewero01,Ron Brewer,94
steella01,Larry Steele,73
owensto01,Tom Owens,80
lucasma01,Maurice Lucas,104
twardda01,Dave Twardzik,77
hollili01,Lionel Hollins,66
johnscl01,Clemon Johnson,47
dunntr01,T.R. Dunn,52
terreir01,Ira Terrell,6
