Player ID,Player name,MP
mournal01,Alonzo Mourning,152
johnsla02,Larry Johnson,163
gillke01,Kendall Gill,160
curryde01,Dell Curry,91
boguemu01,Muggsy Bogues,154
newmajo01,Johnny Newman,79
gattike01,Kenny Gattison,105
benneto01,Tony Bennett,27
wingada01,David Wingate,42
greensi02,Sidney Green,33
gminsmi01,Mike Gminski,1
lynchke01,Kevin Lynch,3
mchalke01,Kevin McHale,113
parisro01,Robert Parish,146
gamblke01,Kevin Gamble,142
mcdanxa01,Xavier McDaniel,126
brownde01,Dee Brown,133
douglsh01,Sherman Douglas,166
abdelal01,Alaa Abdelnaby,68
foxri01,Rick Fox,71
lewisre01,Reggie Lewis,13
kleinjo01,Joe Kleine,29
willilo01,Lorenzo Williams,3
