Player ID,Player name,MP
thomais01,Isiah Thomas,208
dantlad01,Adrian Dantley,164
dumarjo01,Joe Dumars,174
laimbbi01,Bill Laimbeer,178
rodmade01,Dennis Rodman,104
sallejo01,John Salley,139
johnsvi01,Vinnie Johnson,82
mahorri01,Rick Mahorn,124
edwarja01,James Edwards,48
lewisra01,Ralph Lewis,4
malonje01,Jeff Malone,199
malonmo01,Moses Malone,198
kingbe01,Bernard King,168
willijo02,John Williams,185
walkeda01,Darrell Walker,155
coltest01,Steve Colter,86
johnsfr01,Frank Johnson,44
catlete01,Terry Catledge,45
bolma01,Manute Bol,44
alarima01,Mark Alarie,4
jonesch01,Charles Jones,95
boguemu01,Muggsy Bogues,2
