Player ID,Player name,MP
barryri01,Rick Barry,122
smithph01,Phil Smith,122
parisro01,Robert Parish,89
raycl01,Clifford Ray,98
wilkeja01,Jamaal Wilkes,64
willigu01,Gus Williams,50
parkeso01,Sonny Parker,59
dudlech01,Charles Dudley,63
mcneila01,Larry McNeill,5
johnsch01,Charles Johnson,45
rogerma01,Marshall Rogers,3
laniebo01,Bob Lanier,118
porteho01,Howard Porter,98
moneyer01,Eric Money,103
fordch01,Chris Ford,101
carrml01,M.L. Carr,112
porteke01,Kevin Porter,61
douglle01,Leon Douglas,57
eberhal01,Al Eberhard,42
selleph01,Phil Sellers,6
brownro02,Roger Brown,5
simpsra01,Ralph Simpson,17
